id;time_start;time_end;act;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;objective
968;24/04/2005;17/10/2005;func_105;cat_4;cat_04;cat_372;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.1633987;0.235614632
968;17/10/2005;16/06/2006;func_255;cat_4;cat_04;cat_372;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1449412;0.293471529
755;3/07/2004;10/08/2005;func_255;cat_2;cat_09;cat_265;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974;0.459879067
1181;15/01/2005;12/06/2006;func_255;cat_2;cat_04;cat_181;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1437908;0.574326474
749;3/07/2004;31/01/2006;func_177;cat_2;cat_04;cat_266;cat_2;cat_01;cat_4;cat_4;0.16;1;0.33;0.1748758;0.634648666
1193;15/01/2005;5/01/2006;func_255;cat_2;cat_04;cat_224;cat_2;cat_01;cat_1;cat_4;0.04;1;0.33;0.1437908;0.407659807
50;10/05/2005;8/04/2006;func_155;cat_3;cat_02;cat_089;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1652085;0.384704295
50;8/04/2006;24/05/2007;func_255;cat_3;cat_02;cat_089;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1449412;0.468073546
48;12/04/2004;20/06/2005;func_155;cat_3;cat_09;cat_227;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1462765;0.493371105
268;9/10/2004;9/11/2005;func_255;cat_2;cat_06;cat_107;cat_2;cat_03;cat_4;cat_3;0.08;1;0.33;0.1449412;0.452269174
1119;26/10/2004;19/11/2005;func_255;cat_4;cat_04;cat_078;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1449412;0.444980096
912;17/10/2004;25/06/2005;func_255;cat_3;cat_02;cat_103;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1449412;0.301406879
460;9/10/2004;31/05/2005;func_255;cat_2;cat_04;cat_204;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1449412;0.285602508
916;3/07/2004;10/08/2005;func_255;cat_2;cat_11;cat_141;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974;0.459879067
1087;3/07/2004;10/08/2005;func_255;cat_2;cat_05;cat_432;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974;0.459879067
264;7/07/2005;5/06/2006;func_216;cat_2;cat_18;cat_286;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1652085;0.384704295
264;17/02/2005;7/07/2005;func_255;cat_2;cat_18;cat_286;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1449412;0.207630541
368;31/07/2005;24/11/2005;func_047;cat_7;cat_04;cat_092;cat_2;cat_01;cat_4;cat_3;0;1;0.5;0.1699346;0.190379603
368;24/11/2005;19/03/2006;func_197;cat_4;cat_04;cat_092;cat_2;cat_01;cat_4;cat_3;0.08;1;0.42;0.1537647;0.190379603
368;19/03/2006;23/10/2006;func_197;cat_4;cat_04;cat_092;cat_2;cat_01;cat_4;cat_3;0.08;1;0.42;0.1537647;0.271121779
498;3/07/2004;13/02/2005;func_177;cat_2;cat_09;cat_252;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.149419;0.27783899
757;26/10/2004;28/08/2005;func_255;cat_2;cat_11;cat_132;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.130719;0.35704627
898;3/07/2004;10/08/2005;func_255;cat_2;cat_04;cat_203;cat_2;cat_03;cat_4;cat_3;0.08;1;0.33;0.1468974;0.459879067
942;15/01/2005;5/01/2006;func_255;cat_4;cat_04;cat_437;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908;0.407659807
